Imagens,Nome,Descrição,Categorias,encontrado
"https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BÁSICO/TELHA FIBROCIMENTO SEM AMIANTO 110X366X6MM (49,87GK) ETERNIT.png?raw=true","TELHA FIBROCIMENTO SEM AMIANTO 110X366X6MM (49,87GK) ETERNIT",Indicada para coberturas e fechamentos laterais para residências e outras edificações com pé direito máximo de 4m ou com distância máxima do solo ao ponto mais alto da cobertura de 7m. COMPOSIÇÃO: Cimento Portland e fibras de amianto Crisotila. ESPECIFICAÇÃO: Atende às especificações das Normas Técnicas Brasileiras – NBR NBR7581 e NBR 12800. Também em conformidade com as normas de segurança e uso controlado.,BÁSICO,True
"https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BÁSICO/TELHA FIBROCIMENTO SEM AMIANTO 2.44X50MTX4MM (9,63KG) ETERNIT.png?raw=true","TELHA FIBROCIMENTO SEM AMIANTO 2.44X50MTX4MM (9,63KG) ETERNIT",Indicada para coberturas e fechamentos laterais para residências e outras edificações com pé direito máximo de 4m ou com distância máxima do solo ao ponto mais alto da cobertura de 7m. COMPOSIÇÃO: Cimento Portland e fibras de amianto Crisotila. ESPECIFICAÇÃO: Atende às especificações das Normas Técnicas Brasileiras – NBR NBR7581 e NBR 12800. Também em conformidade com as normas de segurança e uso controlado.,BÁSICO,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BÁSICO/TELHA PLAN CERAMICA SANTANA.png?raw=true,TELHA PLAN CERAMICA SANTANA,"A Telha de PCV Plan é um produto de altíssima qualidade! Recomendada para coberturas em uma ou duas águas, mínima de 15%, principalmente residenciais. Tem em sua camada externa a aplicação de Acrílico Antichamas, que proporciona maior durabilidade e baixa propagação do fogo.
",BÁSICO,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BÁSICO/TRELIÇA TG8SL 6/3.4/4.2MM PEÇA 06 METROS.png?raw=true,TRELIÇA TG8SL 6_3.4_4.2MM PEÇA 06 METROS,,BÁSICO,False
"https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/BÁSICO/VERGALHÃO CA 50 8.0MM DE 12 METRO (5/16) 4,74 KG.png?raw=true","VERGALHÃO CA 50 8.0MM DE 12 METRO (5_16) 4,74 KG",,BÁSICO,False
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DOMÉSTICA/BALDE PLÁSTICO 12LT PRETO VIAPLAST/VIATEK.png?raw=true,BALDE PLÁSTICO 12LT PRETO VIAPLAST_VIATEK,,DOMÉSTICA,False
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DOMÉSTICA/BALDE PLÁSTICO 16LT PRETO REFORÇADO BRASIPLA.png?raw=true,BALDE PLÁSTICO 16LT PRETO REFORÇADO BRASIPLA,,DOMÉSTICA,False
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DOMÉSTICA/ESCADA ALUMÍNIO 7 DÊGRAUS LÍDER.png?raw=true,ESCADA ALUMÍNIO 7 DÊGRAUS LÍDER,,DOMÉSTICA,False
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DOMÉSTICA/ESCADA ALUMÍNIO EXTENSIVA 11X2 DÊGRUS BOTAFOGO.png?raw=true,ESCADA ALUMÍNIO EXTENSIVA 11X2 DÊGRUS BOTAFOGO,,DOMÉSTICA,False
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DOMÉSTICA/ESCADA/BANQUETA ALUMÍNIO 3 DÊGRAUS LÍDER.png?raw=true,ESCADA_BANQUETA ALUMÍNIO 3 DÊGRAUS LÍDER,,DOMÉSTICA,False
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DOMÉSTICA/RODO METAL 40CM ARTESANAL.png?raw=true,RODO METAL 40CM ARTESANAL,,DOMÉSTICA,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DOMÉSTICA/RODO METAL 60CM ARTESANAL.png?raw=true,RODO METAL 60CM ARTESANAL,,DOMÉSTICA,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DOMÉSTICA/RODO PLÁSTICO 55CM ATLAS.png?raw=true,RODO PLÁSTICO 55CM ATLAS,,DOMÉSTICA,True
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DOMÉSTICA/VASSOURA DOMÉSTICA CASA NOVA CONNA.png?raw=true,VASSOURA DOMÉSTICA CASA NOVA CONNA,,DOMÉSTICA,False
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DOMÉSTICA/VASSOURA DOMÉSTICA MULTIUSO HELENA CONNA.png?raw=true,VASSOURA DOMÉSTICA MULTIUSO HELENA CONNA,,DOMÉSTICA,False
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DOMÉSTICA/VASSOURA PARA GRAMA 18/22 DENTES 120CM LAJE TRAMONTINA.png?raw=true,VASSOURA PARA GRAMA 18_22 DENTES 120CM LAJE TRAMONTINA,"- Indicada para a limpeza de folhas;
- Possui cabo de 120cm em madeira renovável;
- Vassoura leve e manuseio super confortável;",DOMÉSTICA,False
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DOMÉSTICA/VASSOURA PARA VASCULHAR TETO ARTESANAL.png?raw=true,VASSOURA PARA VASCULHAR TETO ARTESANAL,,DOMÉSTICA,False
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DOMÉSTICA/VASSOURÃO GARI PIACAVA SINTÉTICA CONNA.png?raw=true,VASSOURÃO GARI PIACAVA SINTÉTICA CONNA,,DOMÉSTICA,False
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DUCHAS ELÉTRICAS/DUCHA ACQUA STORM ULTRA BLACK/CR 6800W/220V LORENZETTI.png?raw=true,DUCHA ACQUA STORM ULTRA BLACK_CR 6800W_220V LORENZETTI,"Chuveiro eletrônico Acqua Storm Ultra 6800W 220V black Lorenzetti

Tecnologia Press Plus: Jatos de alta performance mesmo com baixa pressão. Exclusiva resistência Loren Ultra - longa duração em comparação as resistências comuns.

Acompanhando as tendências mundiais de arquitetura e design, a linha Acqua Ultra apresenta acabamento moderno e inovador com linhas quadradas, design compacto, ultrafino, “Similar ao design de duchas Frias”.",DUCHAS ELÉTRICAS,False
"https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DUCHAS ELÉTRICAS/DUCHA ADVANCED TURBO MULTI 6400W
220V LORENZETTI
.png?raw=true","DUCHA ADVANCED TURBO MULTI 6400W
220V LORENZETTI
","Projetada especialmente para residências com pouca pressão de água, a Ducha Elétrica Advanced apresenta uma inovadora tecnologia de pressurização. 

Imagine um banho mais gostoso e relaxante, com aumento no volume e na pressão da água, proporcionando o máximo de conforto.

Além disso, a Ducha Elétrica Advanced é compatível com aquecedores solares, ampliando suas opções. Com comando multitemperaturas, você tem o controle total sobre a temperatura, garantindo o equilíbrio perfeito entre conforto e economia. Sua resistência tipo refil permite trocas rápidas e fáceis, facilitando a manutenção.",DUCHAS ELÉTRICAS,False
"https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DUCHAS ELÉTRICAS/DUCHA FUTURA MULTI 6800W/220V
LORENZETTI
.png?raw=true","DUCHA FUTURA MULTI 6800W_220V
LORENZETTI
","AS DUCHAS FUTURA POSSUEM DESIGN MODERNO E OFERECEM UMA EXPERIÊNCIA ÚNICA DE RELAXAMENTO DURANTE O BANHO, ALÉM DE DISPENSAR O CANO PARA INSTALAÇÃO, DEIXANDO O AMBIENTE MAIS HARMONIOSO. A DUCHA FUTURA MULTITEMPERATURAS CONTA COM QUATRO OPÇÕES DE TEMPERATURAS, GARANTINDO ECONOMIA EM TODAS AS ESTAÇÕES DO ANO; PERMITE A ESCOLHA GRADUAL DA TEMPERATURA.",DUCHAS ELÉTRICAS,False
https://github.com/Lucas-Henrique-Lopes-Costa/azeveedo/blob/main/DUCHAS ELÉTRICAS/DUCHA LOREN SHOWER ELET 7500W 220V LORENZETTI.png?raw=true,DUCHA LOREN SHOWER ELET 7500W 220V LORENZETTI,"Resistência Loren Ultra de longa duração
Compatível com aquecimento solar e outros sistemas de aquecimento.
Haste de comando: Controle de temperaturas ao alcance das mãos (uso opcional).
Grande espalhador: Maior área de banho.
Comando eletrônico: Ideal para todos os dias do ano, através de seu controle eletrônico de temperaturas permite a seleção gradual e precisa da temperatura, simples como ajustar o volume do rádio.",DUCHAS ELÉTRICAS,False
